hand_count,Position,player_nickname,player_id,Stack,Profit
46,#4,Solstice,VE6CjkevP7,452.0,-48.0
46,#3,g,ZLzUxKGvQY,433.0,-317.0
46,#2,AndrewE8,ychRcKVV_K,478.0,-22.0
46,#10,ADURRRR,cUjvHJzz-e,1056.0,556.0
46,#1,AJB,G5tNeuz87W,193.0,-307.0
47,#9,MS,5qVbrQw2gS,739.0,-11.0
47,#7,tefy,mfsSSCynd7,496.0,-4.0
47,#5,alex,6_sDk2RBW8,901.0,151.0
47,#4,Solstice,VE6CjkevP7,452.0,-48.0
47,#3,g,ZLzUxKGvQY,433.0,-317.0
47,#2,AndrewE8,ychRcKVV_K,478.0,-22.0
47,#10,ADURRRR,cUjvHJzz-e,1031.0,531.0
47,#1,AJB,G5tNeuz87W,220.0,-280.0
48,#9,MS,5qVbrQw2gS,729.0,-21.0
48,#7,tefy,mfsSSCynd7,496.0,-4.0
48,#5,alex,6_sDk2RBW8,901.0,151.0
48,#4,Solstice,VE6CjkevP7,442.0,-58.0
48,#3,g,ZLzUxKGvQY,433.0,-317.0
48,#2,AndrewE8,ychRcKVV_K,478.0,-22.0
48,#10,ADURRRR,cUjvHJzz-e,1029.0,529.0
48,#1,AJB,G5tNeuz87W,242.0,-258.0
49,#9,MS,5qVbrQw2gS,714.0,-36.0
49,#7,tefy,mfsSSCynd7,481.0,-19.0
49,#5,alex,6_sDk2RBW8,886.0,136.0
49,#4,Solstice,VE6CjkevP7,927.0,-73.0
49,#3,g,ZLzUxKGvQY,418.0,-332.0
49,#2,AndrewE8,ychRcKVV_K,633.0,133.0
49,#10,ADURRRR,cUjvHJzz-e,1014.0,514.0
49,#1,AJB,G5tNeuz87W,177.0,-323.0
50,#9,MS,5qVbrQw2gS,714.0,-36.0
50,#7,tefy,mfsSSCynd7,503.0,3.0
50,#5,alex,6_sDk2RBW8,886.0,136.0
50,#4,Solstice,VE6CjkevP7,927.0,-73.0
50,#3,g,ZLzUxKGvQY,398.0,-352.0
50,#2,AndrewE8,ychRcKVV_K,631.0,131.0
50,#10,ADURRRR,cUjvHJzz-e,1014.0,514.0
50,#1,AJB,G5tNeuz87W,177.0,-323.0
51,#9,MS,5qVbrQw2gS,714.0,-36.0
51,#7,tefy,mfsSSCynd7,493.0,-7.0
51,#5,alex,6_sDk2RBW8,886.0,136.0
51,#4,Solstice,VE6CjkevP7,922.0,-78.0
51,#3,g,ZLzUxKGvQY,396.0,-354.0
51,#2,AndrewE8,ychRcKVV_K,631.0,131.0
51,#10,ADURRRR,cUjvHJzz-e,981.0,481.0
51,#1,AJB,G5tNeuz87W,227.0,-273.0
52,#9,MS,5qVbrQw2gS,714.0,-36.0
52,#7,tefy,mfsSSCynd7,493.0,-7.0
52,#5,alex,6_sDk2RBW8,881.0,131.0
52,#4,Solstice,VE6CjkevP7,941.0,-59.0
52,#3,g,ZLzUxKGvQY,382.0,-368.0
52,#2,AndrewE8,ychRcKVV_K,631.0,131.0
52,#10,ADURRRR,cUjvHJzz-e,981.0,481.0
52,#1,AJB,G5tNeuz87W,227.0,-273.0
53,#9,MS,5qVbrQw2gS,699.0,-51.0
53,#7,tefy,mfsSSCynd7,525.0,25.0
53,#5,alex,6_sDk2RBW8,879.0,129.0
53,#4,Solstice,VE6CjkevP7,941.0,-59.0
53,#3,g,ZLzUxKGvQY,367.0,-383.0
53,#2,AndrewE8,ychRcKVV_K,631.0,131.0
53,#10,ADURRRR,cUjvHJzz-e,981.0,481.0
53,#1,AJB,G5tNeuz87W,227.0,-273.0
54,#9,MS,5qVbrQw2gS,694.0,-56.0
54,#7,tefy,mfsSSCynd7,523.0,23.0
54,#5,alex,6_sDk2RBW8,879.0,129.0
54,#4,Solstice,VE6CjkevP7,714.0,-286.0
54,#3,g,ZLzUxKGvQY,367.0,-383.0
54,#2,AndrewE8,ychRcKVV_K,631.0,131.0
54,#10,ADURRRR,cUjvHJzz-e,981.0,481.0
54,#1,AJB,G5tNeuz87W,461.0,-39.0
55,#9,MS,5qVbrQw2gS,692.0,-58.0
55,#7,tefy,mfsSSCynd7,523.0,23.0
55,#5,alex,6_sDk2RBW8,879.0,129.0
55,#4,Solstice,VE6CjkevP7,714.0,-286.0
55,#3,g,ZLzUxKGvQY,367.0,-383.0
55,#2,AndrewE8,ychRcKVV_K,638.0,138.0
55,#10,ADURRRR,cUjvHJzz-e,976.0,476.0
55,#1,AJB,G5tNeuz87W,461.0,-39.0
56,#9,MS,5qVbrQw2gS,692.0,-58.0
56,#7,tefy,mfsSSCynd7,523.0,23.0
56,#5,alex,6_sDk2RBW8,886.0,136.0
56,#4,Solstice,VE6CjkevP7,714.0,-286.0
56,#3,g,ZLzUxKGvQY,367.0,-383.0
56,#2,AndrewE8,ychRcKVV_K,638.0,138.0
56,#10,ADURRRR,cUjvHJzz-e,974.0,474.0
56,#1,AJB,G5tNeuz87W,456.0,-44.0
57,#9,MS,5qVbrQw2gS,692.0,-58.0
57,#7,tefy,mfsSSCynd7,593.0,93.0
57,#5,alex,6_sDk2RBW8,886.0,136.0
57,#4,Solstice,VE6CjkevP7,714.0,-286.0
57,#3,g,ZLzUxKGvQY,804.0,-446.0
57,#2,AndrewE8,ychRcKVV_K,633.0,133.0
57,#10,ADURRRR,cUjvHJzz-e,974.0,474.0
57,#1,AJB,G5tNeuz87W,454.0,-46.0
58,#9,MS,5qVbrQw2gS,692.0,-58.0
58,#7,tefy,mfsSSCynd7,593.0,93.0
58,#5,alex,6_sDk2RBW8,886.0,136.0
58,#4,Solstice,VE6CjkevP7,714.0,-286.0
58,#3,g,ZLzUxKGvQY,1190.0,-60.0
58,#2,AndrewE8,ychRcKVV_K,631.0,131.0
58,#10,ADURRRR,cUjvHJzz-e,680.0,180.0
58,#1,AJB,G5tNeuz87W,364.0,-136.0
59,#9,MS,5qVbrQw2gS,692.0,-58.0
59,#7,tefy,mfsSSCynd7,593.0,93.0
59,#5,alex,6_sDk2RBW8,886.0,136.0
59,#4,Solstice,VE6CjkevP7,543.0,-457.0
59,#3,g,ZLzUxKGvQY,1188.0,-62.0
59,#2,AndrewE8,ychRcKVV_K,631.0,131.0
59,#10,ADURRRR,cUjvHJzz-e,680.0,180.0
59,#1,AJB,G5tNeuz87W,537.0,37.0
60,#9,MS,5qVbrQw2gS,692.0,-58.0
60,#7,tefy,mfsSSCynd7,593.0,93.0
60,#5,alex,6_sDk2RBW8,881.0,131.0
60,#4,Solstice,VE6CjkevP7,6.0,-994.0
60,#3,g,ZLzUxKGvQY,1173.0,-77.0
60,#2,AndrewE8,ychRcKVV_K,631.0,131.0
60,#10,ADURRRR,cUjvHJzz-e,680.0,180.0
60,#1,AJB,G5tNeuz87W,1094.0,594.0
60,-1,AJB,G5tNeuz87W,1094.0,594.0
61,#9,MS,5qVbrQw2gS,692.0,-58.0
61,#7,tefy,mfsSSCynd7,600.0,100.0
61,#5,alex,6_sDk2RBW8,879.0,129.0
61,#4,Solstice,VE6CjkevP7,1006.0,-994.0
61,#3,g,ZLzUxKGvQY,1173.0,-77.0
61,#2,AndrewE8,ychRcKVV_K,631.0,131.0
61,#10,ADURRRR,cUjvHJzz-e,675.0,175.0
62,#9,MS,5qVbrQw2gS,672.0,-78.0
62,#7,tefy,mfsSSCynd7,598.0,98.0
62,#5,alex,6_sDk2RBW8,879.0,129.0
62,#4,Solstice,VE6CjkevP7,1386.0,-1114.0
62,#3,g,ZLzUxKGvQY,1173.0,-77.0
62,#2,AndrewE8,ychRcKVV_K,611.0,111.0
62,#10,ADURRRR,cUjvHJzz-e,837.0,337.0
63,#9,MS,5qVbrQw2gS,559.0,-191.0
63,#7,tefy,mfsSSCynd7,598.0,98.0
63,#5,alex,6_sDk2RBW8,879.0,129.0
63,#4,Solstice,VE6CjkevP7,1386.0,-1114.0
63,#3,g,ZLzUxKGvQY,1291.0,41.0
63,#2,AndrewE8,ychRcKVV_K,611.0,111.0
63,#10,ADURRRR,cUjvHJzz-e,832.0,332.0
64,#9,MS,5qVbrQw2gS,544.0,-206.0
64,#7,tefy,mfsSSCynd7,583.0,83.0
64,#5,alex,6_sDk2RBW8,864.0,114.0
64,#4,Solstice,VE6CjkevP7,1371.0,-1129.0
64,#3,g,ZLzUxKGvQY,1388.0,138.0
64,#2,AndrewE8,ychRcKVV_K,591.0,91.0
64,#10,ADURRRR,cUjvHJzz-e,815.0,315.0
65,#9,MS,5qVbrQw2gS,699.0,-51.0
65,#7,tefy,mfsSSCynd7,583.0,83.0
65,#5,alex,6_sDk2RBW8,864.0,114.0
65,#4,Solstice,VE6CjkevP7,1251.0,-1249.0
65,#3,g,ZLzUxKGvQY,1383.0,133.0
65,#2,AndrewE8,ychRcKVV_K,561.0,61.0
65,#10,ADURRRR,cUjvHJzz-e,815.0,315.0
66,#9,MS,5qVbrQw2gS,699.0,-51.0
66,#7,tefy,mfsSSCynd7,583.0,83.0
66,#5,alex,6_sDk2RBW8,864.0,114.0
66,#4,Solstice,VE6CjkevP7,1246.0,-1254.0
66,#3,g,ZLzUxKGvQY,1311.0,61.0
66,#2,AndrewE8,ychRcKVV_K,638.0,138.0
66,#10,ADURRRR,cUjvHJzz-e,815.0,315.0
67,#9,MS,5qVbrQw2gS,699.0,-51.0
67,#7,tefy,mfsSSCynd7,583.0,83.0
67,#5,alex,6_sDk2RBW8,859.0,109.0
67,#4,Solstice,VE6CjkevP7,1321.0,-1179.0
67,#3,g,ZLzUxKGvQY,1241.0,-9.0
67,#2,AndrewE8,ychRcKVV_K,638.0,138.0
67,#10,ADURRRR,cUjvHJzz-e,815.0,315.0
68,#9,MS,5qVbrQw2gS,699.0,-51.0
68,#7,tefy,mfsSSCynd7,568.0,68.0
68,#5,alex,6_sDk2RBW8,857.0,107.0
68,#4,Solstice,VE6CjkevP7,1321.0,-1179.0
68,#3,g,ZLzUxKGvQY,1226.0,-24.0
68,#2,AndrewE8,ychRcKVV_K,670.0,170.0
68,#10,ADURRRR,cUjvHJzz-e,815.0,315.0
69,#9,MS,5qVbrQw2gS,694.0,-56.0
69,#7,tefy,mfsSSCynd7,598.0,98.0
69,#5,alex,6_sDk2RBW8,857.0,107.0
